Politopo Reduzido 5 qubits lido de arquivo.
Previsão 3 qubits: 0.17376273717635718  s
Previsão 3 qubits: 0.17110902197817537  s
Previsão 3 qubits: 0.1684490139201536  s
Previsão 3 qubits: 0.16578610335724264  s
Previsão 3 qubits: 0.16312281424257935  s
Previsão 3 qubits: 0.16046281938273538  s
Previsão 3 qubits: 0.15780389308929443  s
Previsão 3 qubits: 0.15514631983650176  s
Previsão 3 qubits: 0.15248773117695957  s
Previsão 3 qubits: 0.14982937000415944  s
Previsão 3 qubits: 0.14717500717913518  s
Previsão 3 qubits: 0.14451877438292213  s
Previsão 3 qubits: 0.14186352636755967  s
Previsão 3 qubits: 0.1392090098577955  s
Previsão 3 qubits: 0.13656414324237454  s
Previsão 3 qubits: 0.13391401968806624  s
Previsão 3 qubits: 0.131264591217041  s
Previsão 3 qubits: 0.12861987794063007  s
Previsão 3 qubits: 0.12597351982480004  s
Previsão 3 qubits: 0.12332645046852322  s
Previsão 3 qubits: 0.1206813384228804  s
Previsão 3 qubits: 0.11803953787859749  s
Previsão 3 qubits: 0.11539873108267784  s
Previsão 3 qubits: 0.11275750746522896  s
Previsão 3 qubits: 0.11011802318484284  s
Previsão 3 qubits: 0.10747914885001754  s
Previsão 3 qubits: 0.10483870139488807  s
Previsão 3 qubits: 0.10220077120024583  s
Previsão 3 qubits: 0.09956324919489504  s
Previsão 3 qubits: 0.09692574091283994  s
Previsão 3 qubits: 0.09429229389537465  s
Previsão 3 qubits: 0.09165738663583431  s
Previsão 3 qubits: 0.08902406871766973  s
Previsão 3 qubits: 0.0863914168282841  s
Previsão 3 qubits: 0.08375796987049615  s
Previsão 3 qubits: 0.08112739098559525  s
Previsão 3 qubits: 0.07849759525722927  s
Previsão 3 qubits: 0.07586892152624376  s
Previsão 3 qubits: 0.07324379331925336  s
Previsão 3 qubits: 0.07061632648929135  s
Previsão 3 qubits: 0.0679929239036393  s
Previsão 3 qubits: 0.06536798043684526  s
Previsão 3 qubits: 0.06274403696474821  s
Previsão 3 qubits: 0.06011975801378381  s
Previsão 3 qubits: 0.05749703482758227  s
Previsão 3 qubits: 0.054874904694095734  s
Previsão 3 qubits: 0.05225411483219692  s
Previsão 3 qubits: 0.04963451772397948  s
Previsão 3 qubits: 0.04701596625307773  s
Previsão 3 qubits: 0.04439771638742184  s
Previsão 3 qubits: 0.04178039120956206  s
Previsão 3 qubits: 0.039163915734542046  s
Previsão 3 qubits: 0.03654740907095529  s
Previsão 3 qubits: 0.03393218907745042  s
Previsão 3 qubits: 0.03131737311681112  s
Previsão 3 qubits: 0.028703451981593995  s
Previsão 3 qubits: 0.026090876809481918  s
Previsão 3 qubits: 0.023478903721288306  s
Previsão 3 qubits: 0.020867367313332753  s
Previsão 3 qubits: 0.018256562561712167  s
Previsão 3 qubits: 0.015646472269175003  s
Previsão 3 qubits: 0.013037317890231893  s
Previsão 3 qubits: 0.01042846731237463  s
Previsão 3 qubits: 0.007820350955231021  s
Previsão 3 qubits: 0.005212964627566753  s
Previsão 3 qubits: 0.0026061391352012403  s
Previsão 3 qubits: 0.0  s
Previsão 6 qubits: 0.12575054168701172  s
Previsão 6 qubits: 0.7065796852111816  s
Previsão 6 qubits: 0.8966474533081055  s
Previsão 6 qubits: 0.9848484992980957  s
Previsão 6 qubits: 1.037010908126831  s
Previsão 6 qubits: 1.0708422660827637  s
Previsão 6 qubits: 1.0922086238861084  s
Previsão 6 qubits: 1.1086876392364502  s
Previsão 6 qubits: 1.119743824005127  s
Previsão 6 qubits: 1.1281731128692627  s
Previsão 6 qubits: 1.1351263089613481  s
Previsão 6 qubits: 1.139322280883789  s
Previsão 6 qubits: 1.1421900529127855  s
Previsão 6 qubits: 1.1441800934927804  s
Previsão 6 qubits: 1.1461596488952637  s
Previsão 6 qubits: 1.146446704864502  s
Previsão 6 qubits: 1.1465356630437515  s
Previsão 6 qubits: 1.1458473205566406  s
Previsão 6 qubits: 1.144926949551231  s
Previsão 6 qubits: 1.143824577331543  s
Previsão 6 qubits: 1.1433501924787248  s
Previsão 6 qubits: 1.1419534466483376  s
Previsão 6 qubits: 1.1398753808892292  s
Previsão 6 qubits: 1.1379979848861694  s
Previsão 6 qubits: 1.1358656883239746  s
Previsão 6 qubits: 1.1332597915942852  s
Previsão 6 qubits: 1.1303157011667888  s
Previsão 6 qubits: 1.127511978149414  s
Previsão 6 qubits: 1.1245553411286453  s
Previsão 6 qubits: 1.121631145477295  s
Previsão 6 qubits: 1.1188363336747693  s
Previsão 6 qubits: 1.1156752109527588  s
Previsão 6 qubits: 1.1123692122372715  s
Previsão 6 qubits: 1.1091072980095358  s
Previsão 6 qubits: 1.1056787967681885  s
Previsão 6 qubits: 1.1021984418233235  s
Previsão 6 qubits: 1.098663716702848  s
Previsão 6 qubits: 1.0949080868771202  s
Previsão 6 qubits: 1.091518603838407  s
Previsão 6 qubits: 1.087936520576477  s
Previsão 6 qubits: 1.0843613322188215  s
Previsão 6 qubits: 1.080695424761091  s
Previsão 6 qubits: 1.0771139222522115  s
Previsão 6 qubits: 1.0734835537997158  s
Previsão 6 qubits: 1.0698280334472656  s
Previsão 6 qubits: 1.0660186228544817  s
Previsão 6 qubits: 1.0621115248254005  s
Previsão 6 qubits: 1.058282732963562  s
Previsão 6 qubits: 1.0542906644392986  s
Previsão 6 qubits: 1.0503721237182617  s
Previsão 6 qubits: 1.0464438129873836  s
Previsão 6 qubits: 1.042426659510686  s
Previsão 6 qubits: 1.0383665966537763  s
Previsão 6 qubits: 1.0343500508202448  s
Previsão 6 qubits: 1.030454765666615  s
Previsão 6 qubits: 1.0264960868018014  s
Previsão 6 qubits: 1.022494215714304  s
Previsão 6 qubits: 1.0185393218336434  s
Previsão 6 qubits: 1.0147228038917153  s
Previsão 6 qubits: 1.0107698440551758  s
Previsão 6 qubits: 1.0066904982582467  s
Previsão 6 qubits: 1.0027357609041276  s
Previsão 6 qubits: 0.9987554777236212  s
Previsão 6 qubits: 0.9945901483297348  s
Previsão 6 qubits: 0.9905918561495267  s
Previsão 6 qubits: 0.9863848686218262  s
Previsão 6 qubits: 0.9823483637909391  s
Previsão 6 qubits: 0.9782001551459817  s
Previsão 6 qubits: 0.9777697376582933  s
Previsão 6 qubits: 0.9738146577562604  s
Previsão 6 qubits: 0.9697055749490228  s
Previsão 6 qubits: 0.965496818224589  s
Previsão 6 qubits: 0.9613760987373248  s
Previsão 6 qubits: 0.9572687857859844  s
Previsão 6 qubits: 0.9530453681945801  s
Previsão 6 qubits: 0.9488721144826788  s
Previsão 6 qubits: 0.9447381155831474  s
Previsão 6 qubits: 0.9405782039348896  s
Previsão 6 qubits: 0.9364483537553232  s
Previsão 6 qubits: 0.9323371648788452  s
Previsão 6 qubits: 0.9281308386060927  s
Previsão 6 qubits: 0.92393486674239  s
Previsão 6 qubits: 0.919790483382811  s
Previsão 6 qubits: 0.9156552723475865  s
Previsão 6 qubits: 0.9114521531497731  s
Previsão 6 qubits: 0.9073202443677325  s
Previsão 6 qubits: 0.9031089914256129  s
Previsão 6 qubits: 0.8990490328181874  s
Previsão 6 qubits: 0.89488160744142  s
Previsão 6 qubits: 0.8906417687733968  s
Previsão 6 qubits: 0.8864648604131007  s
Previsão 6 qubits: 0.8823042745175569  s
Previsão 6 qubits: 0.8780488429530975  s
Previsão 6 qubits: 0.8738387645559108  s
Previsão 6 qubits: 0.8695659762934634  s
Previsão 6 qubits: 0.8653397262096405  s
Previsão 6 qubits: 0.8611968301006199  s
Previsão 6 qubits: 0.8570362061870341  s
Previsão 6 qubits: 0.8528290806394635  s
Previsão 6 qubits: 0.8486299514770508  s
Previsão 6 qubits: 0.8444398558966004  s
Previsão 6 qubits: 0.8401574808008531  s
Previsão 6 qubits: 0.8359679087851811  s
Previsão 6 qubits: 0.8318926921257606  s
Previsão 6 qubits: 0.8277408395494733  s
Previsão 6 qubits: 0.8235256491966967  s
Previsão 6 qubits: 0.8193268040630305  s
Previsão 6 qubits: 0.8152266608344184  s
Previsão 6 qubits: 0.8110099757483246  s
Previsão 6 qubits: 0.8067142096432772  s
Previsão 6 qubits: 0.802517691174069  s
Previsão 6 qubits: 0.7982921600341797  s
Previsão 6 qubits: 0.7940459251403809  s
Previsão 6 qubits: 0.7898693210200259  s
Previsão 6 qubits: 0.7856781068055526  s
Previsão 6 qubits: 0.7814611402051203  s
Previsão 6 qubits: 0.7772321517650898  s
Previsão 6 qubits: 0.7729930998915333  s
Previsão 6 qubits: 0.7687592626619739  s
Previsão 6 qubits: 0.7645765542984009  s
Previsão 6 qubits: 0.7602792022642025  s
Previsão 6 qubits: 0.7560225236611288  s
Previsão 6 qubits: 0.751762669260909  s
Previsão 6 qubits: 0.7475451192548198  s
Previsão 6 qubits: 0.743353796005249  s
Previsão 6 qubits: 0.7390829154423305  s
Previsão 6 qubits: 0.7348688493563434  s
Previsão 6 qubits: 0.7306714951992035  s
Previsão 6 qubits: 0.7264516020930091  s
Previsão 6 qubits: 0.7221579918494592  s
Previsão 6 qubits: 0.7179483420976246  s
Previsão 6 qubits: 0.7137567780234597  s
Previsão 6 qubits: 0.7095175900853666  s
Previsão 6 qubits: 0.7052731300467876  s
Previsão 6 qubits: 0.7010142803192139  s
Previsão 6 qubits: 0.6967741040622487  s
Previsão 6 qubits: 0.6925561132222197  s
Previsão 6 qubits: 0.6882796494857125  s
Previsão 6 qubits: 0.6840566679728117  s
Previsão 6 qubits: 0.6798245566231864  s
Previsão 6 qubits: 0.6755901194633321  s
Previsão 6 qubits: 0.6713314224296892  s
Previsão 6 qubits: 0.667109105970476  s
Previsão 6 qubits: 0.6628749767939249  s
Previsão 6 qubits: 0.658649625449345  s
Previsão 6 qubits: 0.6544020143273759  s
Previsão 6 qubits: 0.650170983100424  s
Previsão 6 qubits: 0.6459490157462455  s
Previsão 6 qubits: 0.6417330847490554  s
Previsão 6 qubits: 0.6375341415405273  s
Previsão 6 qubits: 0.6333183215943393  s
Previsão 6 qubits: 0.6290920721857172  s
Previsão 6 qubits: 0.6248434197668936  s
Previsão 6 qubits: 0.6206021742387251  s
Previsão 6 qubits: 0.6163638022638136  s
Previsão 6 qubits: 0.6121592154869666  s
Previsão 6 qubits: 0.6079167028900924  s
Previsão 6 qubits: 0.6036647482763363  s
Previsão 6 qubits: 0.5994316317000479  s
Previsão 6 qubits: 0.5951946973800659  s
Previsão 6 qubits: 0.5909682904711421  s
Previsão 6 qubits: 0.5867190802538836  s
Previsão 6 qubits: 0.5824794257345375  s
Previsão 6 qubits: 0.5782530947429377  s
Previsão 6 qubits: 0.5740169178355824  s
Previsão 6 qubits: 0.5697504899587976  s
Previsão 6 qubits: 0.5655041968751097  s
Previsão 6 qubits: 0.5612671204975673  s
Previsão 6 qubits: 0.5570189261577538  s
Previsão 6 qubits: 0.5527596894432517  s
Previsão 6 qubits: 0.5484930925201952  s
Previsão 6 qubits: 0.5442653922147529  s
Previsão 6 qubits: 0.5400268852366188  s
Previsão 6 qubits: 0.5357676374501196  s
Previsão 6 qubits: 0.5315300396510533  s
Previsão 6 qubits: 0.5272742401469838  s
Previsão 6 qubits: 0.523024833808511  s
Previsão 6 qubits: 0.5187483878617876  s
Previsão 6 qubits: 0.5144784090905216  s
Previsão 6 qubits: 0.5102375348409017  s
Previsão 6 qubits: 0.5059899295891187  s
Previsão 6 qubits: 0.501725972353757  s
Previsão 6 qubits: 0.4974849067750524  s
Previsão 6 qubits: 0.49324774742126465  s
Previsão 6 qubits: 0.48902617918478475  s
Previsão 6 qubits: 0.4847851953198833  s
Previsão 6 qubits: 0.4805616108491459  s
Previsão 6 qubits: 0.47632939764793886  s
Previsão 6 qubits: 0.4720847001151433  s
Previsão 6 qubits: 0.4678397680583753  s
Previsão 6 qubits: 0.4636004557784315  s
Previsão 6 qubits: 0.4593490809202194  s
Previsão 6 qubits: 0.4550823201787286  s
Previsão 6 qubits: 0.45085906982421875  s
Previsão 6 qubits: 0.4466580611008864  s
Previsão 6 qubits: 0.442420988666768  s
Previsão 6 qubits: 0.4381735760548393  s
Previsão 6 qubits: 0.4339323549559622  s
Previsão 6 qubits: 0.42969656110408916  s
Previsão 6 qubits: 0.4254399538040161  s
Previsão 6 qubits: 0.4211937455988642  s
Previsão 6 qubits: 0.41692647131362764  s
Previsão 6 qubits: 0.4126799752559568  s
Previsão 6 qubits: 0.40843941183651195  s
Previsão 6 qubits: 0.4042030660117545  s
Previsão 6 qubits: 0.3999487543569028  s
Previsão 6 qubits: 0.39569549975187884  s
Previsão 6 qubits: 0.3914478925558237  s
Previsão 6 qubits: 0.38720109930449126  s
Previsão 6 qubits: 0.3829437323978969  s
Previsão 6 qubits: 0.37869911284243324  s
Previsão 6 qubits: 0.37445218608064473  s
Previsão 6 qubits: 0.3702109397297174  s
Previsão 6 qubits: 0.3659589936800092  s
Previsão 6 qubits: 0.36169949243235033  s
Previsão 6 qubits: 0.35744420687357586  s
Previsão 6 qubits: 0.35318536472760037  s
Previsão 6 qubits: 0.3489328283782399  s
Previsão 6 qubits: 0.34467834969089456  s
Previsão 6 qubits: 0.340416127985174  s
Previsão 6 qubits: 0.336166840333205  s
Previsão 6 qubits: 0.33190746565122864  s
Previsão 6 qubits: 0.3276535010658572  s
Previsão 6 qubits: 0.3234002207006727  s
Previsão 6 qubits: 0.31915100415547687  s
Previsão 6 qubits: 0.31488962933025527  s
Previsão 6 qubits: 0.31063698041806664  s
Previsão 6 qubits: 0.3063892063341643  s
Previsão 6 qubits: 0.30213391416458063  s
Previsão 6 qubits: 0.2978725226029106  s
Previsão 6 qubits: 0.293617548880639  s
Previsão 6 qubits: 0.2893644489091018  s
Previsão 6 qubits: 0.28510495726131063  s
Previsão 6 qubits: 0.2808487170781845  s
Previsão 6 qubits: 0.27659877817681494  s
Previsão 6 qubits: 0.27234539743197167  s
Previsão 6 qubits: 0.2680912410156636  s
Previsão 6 qubits: 0.26382914711447325  s
Previsão 6 qubits: 0.2595754168522408  s
Previsão 6 qubits: 0.255318284034729  s
Previsão 6 qubits: 0.25106151766796825  s
Previsão 6 qubits: 0.24680161279095106  s
Previsão 6 qubits: 0.24255169173817576  s
Previsão 6 qubits: 0.23829678238415328  s
Previsão 6 qubits: 0.2340410534216433  s
Previsão 6 qubits: 0.2297779118142477  s
Previsão 6 qubits: 0.22553149408657058  s
Previsão 6 qubits: 0.22127732922953944  s
Previsão 6 qubits: 0.2170224764260901  s
Previsão 6 qubits: 0.21276893615722656  s
Previsão 6 qubits: 0.20851610096327336  s
Previsão 6 qubits: 0.20425855545770555  s
Previsão 6 qubits: 0.2000034175842647  s
Previsão 6 qubits: 0.195749692090853  s
Previsão 6 qubits: 0.1914959655088537  s
Previsão 6 qubits: 0.18723657727241516  s
Previsão 6 qubits: 0.1829805086558895  s
